paper_id,title,authors,first_author,year,venue,publication_type,publication_status,doi,arxiv_id,url,citation_count,citation_source,citation_checked_date,citation_velocity_note,taxonomy_primary,taxonomy_secondary,method_family,task,agent_target_setting,observation,communication,centralization,dynamics_action,target_evader_model,obstacles,theoretical_guarantee,real_experiment,code_available,classic_score,frontier_score,cocap_relevance,screening_status,reading_status,decision,notes_path,search_round_id,evidence_notes
P0012,Aerial target encirclement and interception with noisy range observations,,Fen Liu,2026,Automatica,journal,published,10.1016/j.automatica.2025.112600,2508.08046,,,,,,6.1,2.2;2.7;2.8,perception-aware encirclement/interception,aerial protection / noisy-range hostile estimation / encirclement / interception,2 guardians / protected target + moving hostile,each guardian noisy range to hostile; KF reconstructs 3D position+velocity,guardian cooperation/communication in common frame,cooperative control with filtered target-state estimate,discrete 3D double-integrator / acceleration,moving stochastic/non-cooperative hostile; not minimax strategic,none,uniform observability + bounded estimation and encirclement errors; not strategy-robust capture theorem,yes (real UAV direct-impact interception),,,,HIGH,SCREENED,READ,MUST READ,notes/reading/P0012.md,SR-20260914-CE01,"[READ R-CE-01] noisy range-only sensing -> KF -> explicit encirclement/interception switching -> real UAV impact; classical encirclement-to-interception gap is closed, but no post-capture recovery"
P0013,Safety-critical target enclosing control for multi-robot systems: A robust reconfigurable strategy,,Chuanjun Peng,2026,ISA Transactions,journal,ahead of print,10.1016/j.isatra.2026.08.002,,,,,,,2.4,2.3;2.7;2.8,bearing enclosing + CBF-QP,,,,,,,,,,,,,,HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] safety/reliability frontier; not core first READ
P0014,"Differential Games: A Mathematical Theory with Applications to Warfare and Pursuit, Control and Optimization",,Rufus Isaacs,1965,Wiley,book,published,,,,,,,,3.1,3.3,differential games,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] foundational root; unscreened
P0015,An Introduction to Pursuit-evasion Differential Games,,Isaac E. Weintraub,2020,American Control Conference,conference/tutorial,published,10.23919/ACC45564.2020.9147205,2003.05013,,,,,,3.1,3.2;3.3;3.4;3.5;3.6;3.7,tutorial/survey,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-PE01.md,SR-20260914-PE01,[SCREEN] genealogy organizer; not minimum theory READ
P0016,Multiplayer reach-avoid differential games with simple motions: A review,,Rui Yan,2023,Frontiers in Control Engineering,review,published,10.3389/fcteg.2022.1093186,,,,,,,3.2,3.3;3.5;3.6;3.7;3.8,review,,,,,,,,,,,,,,,SCREENED,READ,MUST READ,notes/reading/P0016.md,SR-20260914-PE01,[READ R-PE-01] vocabulary/genealogy anchor; certificate→feasible edge→allocation structure confirmed
P0017,Search and pursuit-evasion in mobile robotics: A survey,,Timothy H. Chung,2011,Autonomous Robots,review,published,10.1007/s10514-011-9241-4,,,503,Scopus via University of Minnesota Experts,2026-09-14,,3.8,3.9;6.1,survey,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] robotics boundary survey; unscreened
P0018,A Time-Dependent Hamilton-Jacobi Formulation of Reachable Sets for Continuous Dynamic Games,,Ian M. Mitchell,2005,IEEE Transactions on Automatic Control,journal,published,10.1109/TAC.2005.851439,,,,,,,3.2,,HJI reachability,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MUST READ,notes/screening/SC-20260914-PE01.md,SR-20260914-PE01,[SCREEN] computational HJI root; deferred from immediate queue
P0019,Hamilton–Jacobi Formulation for Reach–Avoid Differential Games,,Kostas Margellos,2011,IEEE Transactions on Automatic Control,journal,published,10.1109/TAC.2011.2105730,0911.4625,,,,,,3.2,3.8,HJ reach-avoid,,,,,,,,,,,,,,,SCREENED,READ,MUST READ,notes/reading/P0019.md,SR-20260914-PE01,[READ R-PE-01] strict reach+avoid strategy semantics and signed value certificate confirmed
P0020,Pursuit–evasion games in the presence of obstacles,,Dave W. Oyler,2016,Automatica,journal,published,10.1016/j.automatica.2015.11.018,,,174,ScienceDirect Cited by,2026-09-14,,3.8,3.3;3.4,geometric differential game,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MUST READ,notes/screening/SC-20260914-PE01.md,SR-20260914-PE01,[SCREEN] obstacles alter strategic dominance geometry; deferred
P0021,One Apollonius Circle is Enough for Many Pursuit-Evasion Games,,Michael Dorothy,2024,Automatica,journal,published,10.1016/j.automatica.2024.111587,2111.09205,,58,ScienceDirect Cited by,2026-09-14,,3.4,3.3,Apollonius geometry,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-PE01.md,SR-20260914-PE01,[SCREEN] precision theorem; not universal capture certificate
P0022,Smarter Lions: Efficient Cooperative Pursuit in General Bounded Arenas,,Zhengyuan Zhou,2020,SIAM Journal on Control and Optimization,journal,published,10.1137/17M1152589,,,,,,,3.5,3.8,geometric pursuit theorem,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] bounded-arena theorem seed; unscreened
P0023,Robust Policies for a Multiple-Pursuer Single-Evader Differential Game,,Alexander Von Moll,2020,Dynamic Games and Applications,journal,published,10.1007/s13235-019-00313-3,,,,,,,3.5,,MPSE differential game,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] strategy-solution semantics seed; unscreened
P0024,Multiplayer Reach-Avoid Games via Pairwise Outcomes,,Mo Chen,2017,IEEE Transactions on Automatic Control,journal,published,10.1109/TAC.2016.2577619,1611.00450,,,,,,3.6,3.2;3.7;3.8;6.3,pairwise HJI + matching,,,,,,,,,,,,,,,SCREENED,READ,MUST READ,notes/reading/P0024.md,SR-20260914-PE01,[READ R-PE-01] pairwise certificate→maximum matching; matching size gives conservative stopped-attacker guarantee
P0025,Task Assignment for Multiplayer Reach-Avoid Games in Convex Domains via Analytical Barriers,,Rui Yan,2020,IEEE Transactions on Robotics,journal,published,10.1109/TRO.2019.2935345,1904.02789,,,,,,3.7,3.3;3.6;3.8;6.3,analytical barriers + assignment,,,,,,,,,,,,,,,SCREENED,READ,MUST READ,notes/reading/P0025.md,SR-20260914-PE01,[READ R-PE-01] coalition winning certificate→resource-constrained 0-1 assignment; model-specific global-optimality scope confirmed
P0026,Matching-based capture strategies for 3D heterogeneous multiplayer reach-avoid differential games,,Rui Yan,2022,Automatica,journal,published,10.1016/j.automatica.2022.110207,1909.11881,,105,ScienceDirect Cited by,2026-09-14,,3.7,3.5;3.6;3.8;6.3,capture certificates + constrained matching,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] heterogeneous matching seed; R-PE-01 identifies as focused 3D/positive-radius follow-up
P0027,Multiple Pursuer Multiple Evader Differential Games,,Eloy Garcia,2021,IEEE Transactions on Automatic Control,journal,published,10.1109/TAC.2020.3003840,1911.03806,,,,,,3.6,3.7,differential game assignment+guidance,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] NvM assignment/guidance seed; unscreened
P0028,Cooperative Pursuit With Multi-Pursuer and One Faster Free-Moving Evader,,Xu Fang,2022,IEEE Transactions on Cybernetics,journal,published,10.1109/TCYB.2019.2958548,2001.04731,,152,Scopus via SUNY Pure,2026-09-14,,6.1,3.5,distributed encirclement + capture,,,,,,,,,,,,,,HIGH,SCREENED,READ,MUST READ,notes/reading/P0028.md,SR-20260914-PE01,[READ R-PE-01] no-escape angular closure + maintained geometry + radial hunting + capture radius conditions confirmed
P0029,Multiplayer Homicidal Chauffeur reach-avoid games: A pursuit enclosure function approach,,Rui Yan,2024,Automatica,journal,published,10.1016/j.automatica.2024.111770,2311.02389,,23,ScienceDirect Cited by,2026-09-14,,3.7,3.5;3.6;3.8;6.1;6.3,pursuit enclosure functions + task allocation,,,,,,,,,,,,,,HIGH,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] nonholonomic PE/coalition seed; R-PE-01 identifies as focused dynamics follow-up
P0030,A review of reinforcement learning approaches for pursuit-evasion games,,Kun Yang,2026,Chinese Journal of Aeronautics,review,published,10.1016/j.cja.2025.103940,,,2,OUCI,2026-09-14,,4,6.2,review,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] genealogy organizer; low direct novelty threat
P0031,Cooperative control for multi-player pursuit-evasion games with reinforcement learning,,Yuanda Wang,2020,Neurocomputing,journal,published?,10.1016/j.neucom.2020.06.031,,,175,ScienceDirect Cited by,2026-09-14,,4.2,4.5;4.8,DDPG/centralized critic,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-LM01,[Web核验] publication-status conflict unresolved; unscreened
P0032,Decentralized Multi-Agent Pursuit Using Deep Reinforcement Learning,,Cristino de Souza,2021,IEEE Robotics and Automation Letters,journal,published,10.1109/LRA.2021.3068952,2010.08193,,189,Scopus via Monash,2026-09-14,,4.2,4.5;4.12;4.13;5.3,deep RL + curriculum,,,,,,,,,,,,,,HIGH,SCREENED,NOT_QUEUED,MUST READ,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] decentralized policy execution milestone; deferred
P0033,Multi-Target Pursuit by a Decentralized Heterogeneous UAV Swarm using Deep Multi-Agent Reinforcement Learning,,Maryam Kouzehgar,2023,ICRA,conference,published,10.1109/ICRA48891.2023.10160919,2303.01799,,53,ResearchGate,2026-09-14,,5.1,4.2;4.5;4.9;4.13;5.3;5.4;5.6,MADDPG variant + heterogeneous fixed roles,,,,,,,,,,,,,,VERY HIGH,SCREENED,READ,MUST READ,notes/reading/P0033.md,SR-20260914-LM01,[READ R-LM-01] concurrent fixed-role exploration+pursuit predecessor; no dynamic gate/assignment/capturability certificate; target state propagated
P0034,Multi-UAV Cooperative Pursuit Strategy With Limited Visual Field in Urban Airspace: A Multi-Agent Reinforcement Learning Approach,,Zhe Peng,2025,IEEE/CAA Journal of Automatica Sinica,journal,published,10.1109/JAS.2024.124965,,,,,,,5.2,4.2;4.5;4.6;5.8,normalizing-flow actor + graph-attention critic,,,,,,,,,,,,,,VERY HIGH,SCREENED,READ,MUST READ,notes/reading/P0034.md,SR-20260914-LM01,[READ R-LM-01] literal finite FOV/range/building occlusion + reacquisition confirmed; detected target shared team-wide; any-one proximity capture
P0035,TERL: Large-Scale Multi-Target Encirclement Using Transformer-Enhanced Reinforcement Learning,,Heng Zhang,2025,IROS,conference,published,10.1109/IROS60139.2025.11246832,2503.12395,,1,ResearchGate,2026-09-14,,5.1,4.7;4.9;5.5;5.10,Transformer RL + target prioritization,,,,,,,,,,,,,,VERY HIGH,SCREENED,READ,MUST READ,notes/reading/P0035.md,SR-20260914-LM01,[READ R-LM-01] strongest scaling/soft-selection competitor; active targets globally available; no explicit assignment or capturability-aware recruitment
P0036,Online Planning for Multi-UAV Pursuit-Evasion in Unknown Environments Using Deep Reinforcement Learning,,Jiayu Chen,2025,IEEE Robotics and Automation Letters,journal,published,10.1109/LRA.2025.3583620,2409.15866,,10,Bishtref,2026-09-14,,5.8,4.3;4.7;4.12;4.13;5.2;5.9;5.10,MAPPO + prediction attention + curriculum,,,,,,,,,,,,,,VERY HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] physical CTBR/unknown-clutter/real-UAV milestone; evader non-strategic
P0037,Apollonius partitions based pursuit-evasion strategies via multi-agent reinforcement learning,,Lei Xue,2025,Neurocomputing,journal,published,10.1016/j.neucom.2025.129643,,,,,,,6.3,4.4;4.9;6.2,Apollonius geometry + role-based QMIX,,,,,,,,,,,,,,HIGH,SCREENED,NOT_QUEUED,MUST READ,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] strongest theory-guided MARL bridge; R-PE-01+R-LM-01 make it a focused follow-up candidate if learned capturability becomes central
P0038,A perception-enhanced multi-agent deep reinforcement learning method for multi-UAV cooperative pursuit,,Xiong Liqin,2026,Expert Systems with Applications,journal,published,10.1016/j.eswa.2026.131334,,,2-3,ScienceDirect/OUCI conflict,2026-09-14,,5.2,4.4;4.5;4.6;5.3;6.2,PE-QMIX + dynamic graph + GAT,,,,,,,,,,,,,,VERY HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] strong local-observation/limited-communication adjacent competitor; not first READ
P0039,MA2MB: Multi-agent mutual-advising model-based reinforcement learning for pursuit and evasion games,,Baolin Zhao,2026,Robotics and Autonomous Systems,journal,published,10.1016/j.robot.2026.105530,,,0,OUCI,2026-09-14,,4.15?,4.2;4.5;4.8;6.2,world-model MARL + opponent uncertainty,,,,,,,,,,,,,,HIGH,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-LM01,[Web核验] model-based/opponent-modeling seed; unscreened
P0040,AgilePE: Autonomous UAV Pursuit-Evasion via Self-Play Reinforcement Learning,,Wenhao Tang,2026,arXiv,preprint,preprint,,2608.14135,,,,,,4.12,4.13;5.9,PFSP self-play RL,,,,,,,,,,,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-LM01.md,SR-20260914-LM01,[SCREEN] strategic self-play + real-UAV frontier; preprint-only
P0041,Safety-Aware Pursuit-Evasion Game Based on Control Barrier Function and Reinforcement Learning,,Yupeng Jia,2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",journal,published,10.1109/TSMC.2025.3546968,,,,,,,4.14,6.2,CBF safeguarding + off-policy RL,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MAP,,SR-20260914-LM01,[Web核验] safety-constrained RL structural node; unscreened
P0042,Spatially valid underwater target capture by multiple AUVs with dual policy reinforcement learning framework of target allocation and pursuit control,,Shuxin Yang,2026,Ocean Engineering,journal,published,10.1016/j.oceaneng.2026.127180,,,1,OUCI,2026-09-14,,5.5,4.6;4.9;4.10;5.1;5.10;6.3,dual-policy RL + Sinkhorn assignment + GAT,,,,,,,,,,,,,,VERY HIGH,SCREENED,READ,MUST READ,notes/reading/P0042.md,SR-20260914-LM01,"[READ R-LM-01] strongest structural competitor; hard capacity+subgroup control+spatial capture, but capacity is prescribed and not capturability-feasible; target positions externally supported"
P0043,Construction of kill webs with heterogeneous UAV swarms in dynamic contested environments,,Wenlin Liu,2025,Complex & Intelligent Systems,journal,published,10.1007/s40747-024-01644-4,,,,,,,5.7,5.5;6.3,dynamic consensus/auction coalition formation,temporary strike coalition → task completion → coalition dissolution → reusable pool,repeated/pop-up targets,task/target information enters distributed allocation layer; uncommitted state is not coverage,local-neighbor/adaptive communication,distributed coalition formation,UAV mission-level planning,target destruction/neutralization,,,,no,,,,VERY HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,"[SCREEN S-LIFE-01] synchronized strike → explicit coalition dissolution → return to uncommitted reusable pool; pop-up replacement targets; strongest completion→dissolve→reuse→repeat analogue, but uncommitted ≠ coverage"
P0044,Accelerated K-Serial Stable Coalition for Dynamic Capture and Resource Defense,,Junfeng Chen,2024,IEEE Robotics and Automation Letters,journal,published,10.1109/LRA.2023.3334560,2305.15729,,,,,,5.7,5.4;5.5;6.3,distributed coalition/task allocation,exploration/resource defense + dynamic capture coalitions + reassignment,large heterogeneous team / many targets/resources,SCOUT exploration/detection; detected target position shared to SWAT,strong team communication assumptions,distributed/decentralized coalition allocation,robot task-level motion,target robots captured and immobilized,,,,yes (11/13-robot hardware scenarios),,,,VERY HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,"[SCREEN S-LIFE-01] strongest capture-specific lifecycle competitor; dynamic SWAT capture coalitions + terminal immobilizing capture + post-capture SWAT reuse; fixed SCOUT/SWAT roles prevent fungible coverage↔capture pool"
P0045,HECTOR: Human-Centric Hierarchical Coordination and Supervision of Robotic Fleets Under Continual Temporal Tasks,,Shen Wang,2026,IEEE Transactions on Automation Science and Engineering,journal,published,10.1109/TASE.2026.3683709,2604.10892,,,,,,5.7,5.5;6.3,hierarchical continual MRTA + dynamic coalition formation,continual missions with completion-triggered coalition dissolution/reassignment,heterogeneous fleet / online random mission arrivals,target positions externally sensed/tracked for moving subtasks,peer/local communication + supervisory layer,hierarchical supervision + distributed coalition formation,task-level robot motion,continual temporal tasks incl. moving capture labels,,,,no physical validation identified,,,,VERY HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,"[SCREEN S-LIFE-01] generic completion→dissolve→reassign under continual arrivals confirmed; capture is a temporal-task label and reassignment is not return-to-coverage"
P0046,Coordination in Human-Agent-Robot Teamwork,,Jeffrey M. Bradshaw,2008,International Symposium on Collaborative Technologies and Systems,conference,published,10.1109/CTS.2008.4543966,,,,,,,5.7,5.4,policy-based human-agent-robot teamwork,security patrol/search → intruder apprehension → post-success task / resume patrol,mixed human/robot security team / intrusion scenario,field-exercise detection and team notifications,policy/team notifications,mixed human-agent-robot organizational control,behavior/task-level control,intruder apprehension,,,,yes (field exercise),,HIGH,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,"[SCREEN S-LIFE-01] successful apprehension followed by post-success tasks including resume patrolling; cleanest historical return-to-patrol predecessor, but human/policy-mediated and no repeated-arrival loop"
P0047,Coordinated Perimeter Patrol with Minimum-Time Alert Response,,Derek A. Paley,2009,AIAA Guidance Navigation and Control Conference,conference,published,10.2514/6.2009-6210,,,,,,,5.7,1.3;5.4,classical optimal control/coordinated patrol,persistent UAV perimeter patrol → alert response → return to coordinated patrol,multi-UAV / intrusion alerts,alert-based response assumptions,cooperative coordination,cooperative patrol/response control,UAV path/trajectory control,alert servicing not physical capture,,,,no,,,,HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,[SCREEN S-LIFE-01] same-agent patrol→alert response→patrol edge confirmed; no terminal capture or temporary coalition
P0048,Hybrid Control for Large Swarms of Aquatic Drones,,Miguel Duarte,2014,Artificial Life 14,conference,published,10.7551/978-0-262-32621-6-ch127,,,,,,,5.7,5.2;5.4,behavior-based/evolutionary hybrid swarm control,persistent patrol → local detection → temporary pursuit → return → repeated intruders,large homogeneous aquatic-drone swarm / repeated crossings,local front-camera detection and local alert propagation,local communication,decentralized hybrid controller,swarm behavior/state-machine control,intruders cross patrol zone; no terminal capture,,,,no physical validation in lifecycle experiment,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,"[SCREEN S-LIFE-01] closest same-pool persistent-loop near miss: same homogeneous agents patrol→local pursuit→patrol under repeated intruders; return triggered by exit/loss/timeout, not capture"
P0049,Layered Mode Selection Logic for Unstructured Environments,,Brian Wright,2008,International Journal of Intelligent Control and Systems,journal,published,,,,,,,,5.7,5.4,behavior-based hybrid mode selection,border patrol ↔ Capture/Pursue behavior modes,multi-robot border security / intruder events,neighbor/perimeter/intruder information,local/neighbor interaction,decentralized mode selection,behavior/state-machine control,intrusion scenario; Capture means maintaining contact/distance,,,,yes (1-D prototype),,MEDIUM,,HIGH,SCREENED,NOT_QUEUED,ARCHIVE,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,[SCREEN S-LIFE-01] Capture is a mode-name false friend; prototype capturers remain with intruder until further instruction rather than release/return
P0050,Optimal Perimeter Patrol Alert Servicing with Poisson Arrival Rate,,Phillip Chandler,2009,AIAA Guidance Navigation and Control Conference,conference,published,10.2514/6.2009-6213,,,,,,,5.7,1.3;5.4,stochastic patrol/service optimization,persistent perimeter patrol with recurring Poisson alert service,multi-UAV / repeated alert events,external alert/service assumptions,cooperative patrol planning,cooperative/stochastic scheduling,UAV patrol/service control,alerts rather than capture targets,,,,no,,,,MEDIUM,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,[SCREEN S-LIFE-01] repeated Poisson patrol/service lineage; no capture coalition; primary-text exact return wording remains non-critical full-text detail
P0051,Competitive perimeter defense with a turret and a mobile vehicle,,Shivam Bajaj,2023,Frontiers in Control Engineering,journal,published,10.3389/fcteg.2023.1128597,,,,,,,5.7,3.5;3.8,perimeter-defense pursuit-evasion control,online defense against arbitrary repeated intruder arrivals,heterogeneous fixed defenders / arbitrary online intruders,intruder locations known after release,game/control information pattern,game/control formulation,mobile vehicle + stationary turret,intruders captured/neutralized before protected perimeter,,,,no,,,,HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260915-LIFE01.md,SR-20260915-LIFE01,[SCREEN S-LIFE-01] true repeated online capture/defense anchor; fixed roles and no temporary coalition dissolution or return-to-patrol lifecycle
